region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-109.1331766,31.70754197,1,0.435023904,0.054966806,6.849999905,67.51162878,1.926369275,0,0
1,-108.9563879,31.70754197,1,0.537779093,0.113707344,5.559999943,47.97704054,2.335667326,0,0
1,-108.7795993,31.70754197,1,0.273912668,0.005378575,5.840000153,51.93430936,0.528519249,0,0
1,-108.6028107,31.70754197,1,0.027906971,0.029813867,6.090000153,55.6000825,-1.287498925,0,0
1,-108.4260221,31.70754197,1,-0.016332606,0.047048431,6.150000095,56.4984672,-1.630387756,0,0
1,-108.2492335,31.70754197,1,-0.057311364,0.066504808,5.880000114,52.51243251,-1.868777467,0,0
1,-112.668949,31.8843306,1,-0.068921484,0.07262776,12.26000023,185.6827657,-3.672291304,0,0
1,-112.4921604,31.8843306,1,-0.016434278,0.047092548,11.67000008,169.9515371,-2.829037105,0,0
1,-112.3153717,31.8843306,1,-0.026446655,0.051538331,11.46000004,164.5202867,-2.911889597,0,0
1,-112.1385831,31.8843306,1,0.081856437,0.014093835,11.48999977,165.2907726,-1.526296474,0,0
1,-111.9617945,31.8843306,1,0.137062669,0.004033676,11.64999962,169.4304633,-0.826696807,0,0
1,-111.7850059,31.8843306,1,0.210260943,9.38E-05,11,152.9314633,0.119795296,0,0
1,-111.6082173,31.8843306,1,0.418644577,0.047554822,8.300000191,93.44211782,2.107990333,0,0
1,-111.4314286,31.8843306,1,-0.011465472,0.044960694,9.970000267,128.5172843,-2.403794147,0,0
1,-111.25464,31.8843306,1,0.561385632,0.130185108,9.119999886,109.9676474,3.783668859,0,0
1,-111.0778514,31.8843306,1,0.134880498,0.004315623,10.26000023,135.1765803,-0.763787348,0,0
1,-110.9010628,31.8843306,1,0.128217295,0.005235478,10.47000027,140.1038307,-0.856452279,0,0
1,-110.7242742,31.8843306,1,0.600099444,0.159620663,7.809999943,84.20899788,3.666264594,0,0
1,-110.5474855,31.8843306,1,0.283975184,0.006955775,8.699999809,101.3353472,0.839562887,0,0
1,-110.3706969,31.8843306,1,0.286306083,0.007350008,8.359999657,94.60569299,0.833878035,0,0
1,-110.1939083,31.8843306,1,0.066723645,0.01791589,8.329999924,94.02300542,-1.297885136,0,0
1,-110.0171197,31.8843306,1,0.302767724,0.010443578,7.75,83.11141339,0.931654737,0,0
1,-109.840331,31.8843306,1,0.266969085,0.004408321,7.400000095,76.85233277,0.582056483,0,0
1,-109.6635424,31.8843306,1,0.123278975,0.005974505,7.440000057,77.5552558,-0.680701296,0,0
1,-109.4867538,31.8843306,1,0.329950988,0.016738432,6.920000076,68.66684807,1.072089245,0,0
1,-109.3099652,31.8843306,1,1.003751993,0.645095054,2.309999943,13.51699105,2.952921277,0,0
1,-109.1331766,31.8843306,1,0.582047999,0.14552249,4.46999979,34.06526831,2.226491114,0,0
1,-108.9563879,31.8843306,1,0.26474601,0.00411806,6.389999866,60.16400584,0.497753949,0,0
1,-108.7795993,31.8843306,1,0.07139001,0.016688477,6.210000038,57.40405188,-0.978767681,0,0
1,-108.6028107,31.8843306,1,0.025667733,0.030592166,6.21999979,57.55567904,-1.326933648,0,0
1,-108.4260221,31.8843306,1,-0.000300033,0.040350336,5.730000019,50.36096728,-1.425511113,0,0
1,-108.2492335,31.8843306,1,-0.04604394,0.060820357,5.610000134,48.6721978,-1.720540749,0,0
1,-108.0724448,31.8843306,1,-0.031903543,0.05404576,5.300000191,44.44283988,-1.54982162,0,0
1,-107.8956562,31.8843306,1,-0.128288031,0.108150167,6.090000153,55.6000825,-2.452174185,0,0
1,-107.7188676,31.8843306,1,-0.116421439,0.100486043,5.989999771,54.11876763,-2.331990739,0,0
1,-107.542079,31.8843306,1,-0.229664817,0.185105351,6.730000019,65.55405959,-3.483447608,0,0
1,-107.3652904,31.8843306,1,-0.190918371,0.153266196,6.710000038,65.23059805,-3.161905379,0,0
1,-107.1885017,31.8843306,1,-0.12579,0.106513393,6.690000057,64.90793651,-2.629365811,0,0
1,-107.0117131,31.8843306,1,-0.220771343,0.177531811,6.739999771,65.71608649,-3.415654525,0,0
1,-106.8349245,31.8843306,1,-0.234583691,0.189362126,6.389999866,60.16400584,-3.375319846,0,0
1,-106.6581359,31.8843306,1,-0.217410028,0.174710562,6.889999866,68.17055184,-3.451103503,0,0
1,-113.3761035,32.06111922,1,-0.469363809,0.448816529,12.64999962,196.4635548,-9.390212501,0,0
1,-113.1993148,32.06111922,1,-0.183682472,0.147652957,12.69999981,197.8677147,-5.405159861,0,0
1,-113.0225262,32.06111922,1,-0.198207021,0.15902622,12.40999985,189.7932191,-5.493823649,0,0
1,-112.8457376,32.06111922,1,-0.073754199,0.075255904,12.35999966,188.4180593,-3.765577169,0,0
1,-112.668949,32.06111922,1,0.149540111,0.002604447,11.65999985,169.6909002,-0.664793954,0,0
1,-112.4921604,32.06111922,1,-0.123637609,0.105113101,11.28999996,160.188159,-4.103397872,0,0
1,-112.3153717,32.06111922,1,-0.135247171,0.11277579,11.31000042,160.6948325,-4.257051401,0,0
1,-112.1385831,32.06111922,1,-0.066353478,0.071250223,10.40999985,138.6870352,-3.143482499,0,0
1,-111.9617945,32.06111922,1,0.082961537,0.013832667,11.39999962,162.9846904,-1.501503575,0,0
1,-111.7850059,32.06111922,1,0.263056308,0.003904052,10.78999996,147.7816129,0.75957031,0,0
1,-111.6082173,32.06111922,1,-0.013389256,0.045780231,10.89000034,150.2229315,-2.622449327,0,0
1,-111.4314286,32.06111922,1,-0.079043187,0.078185714,10.59000015,142.9589991,-3.343254609,0,0
1,-111.25464,32.06111922,1,0.031498637,0.028586444,11.02999973,153.6743494,-2.095949215,0,0
1,-111.0778514,32.06111922,1,0.034208205,0.027677544,10.88000011,149.977895,-2.037405146,0,0
1,-110.9010628,32.06111922,1,0.141239092,0.003520619,11.10000038,155.414782,-0.739700109,0,0
1,-110.7242742,32.06111922,1,0.306086659,0.011132943,10.27999973,135.6420306,1.228859227,0,0
1,-110.5474855,32.06111922,1,0.39991641,0.039737438,9.029999733,108.0881659,2.072473584,0,0
1,-110.3706969,32.06111922,1,0.105890356,0.008964973,9.130000114,110.1774831,-0.993850167,0,0
1,-110.1939083,32.06111922,1,0.152721092,0.002289891,8.590000153,99.13281393,-0.476448667,0,0
1,-110.0171197,32.06111922,1,0.611231804,0.168639917,7.570000172,79.86185985,3.6698634,0,0
1,-109.840331,32.06111922,1,0.097943082,0.010533084,7.320000172,75.4560867,-0.891507323,0,0
1,-109.6635424,32.06111922,1,0.158114225,0.001802824,7.269999981,74.58992877,-0.366704918,0,0
1,-109.4867538,32.06111922,1,0.290951759,0.008168158,7.110000134,71.8518366,0.766092126,0,0
1,-109.3099652,32.06111922,1,0.787911773,0.34496578,3.099999905,19.9500335,2.623371661,0,0
1,-109.1331766,32.06111922,1,0.090663016,0.012080402,6.860000134,67.67606347,-0.904186949,0,0
1,-108.9563879,32.06111922,1,0.107867368,0.008594501,6.550000191,62.67170569,-0.733915535,0,0
1,-108.7795993,32.06111922,1,0.09221445,0.01174177,5.880000114,52.51243251,-0.785231742,0,0
1,-108.6028107,32.06111922,1,0.052212879,0.022010992,6.019999981,54.56106349,-1.0958755,0,0
1,-108.4260221,32.06111922,1,-0.019692602,0.04851733,5.909999847,52.9481214,-1.602779305,0,0
1,-108.2492335,32.06111922,1,-0.032213304,0.054189881,5.559999943,47.97704054,-1.612411275,0,0
1,-108.0724448,32.06111922,1,-0.043116305,0.059384915,5.789999962,51.216152,-1.743980164,0,0
1,-107.8956562,32.06111922,1,-0.054245003,0.064932672,6.010000229,54.41343622,-1.879683426,0,0
1,-107.7188676,32.06111922,1,-0.104916163,0.093324177,6.050000191,55.00515937,-2.26568118,0,0
1,-107.542079,32.06111922,1,-0.089159124,0.083945223,6.210000038,57.40405188,-2.195175608,0,0
1,-107.3652904,32.06111922,1,-0.101589896,0.091302958,6.239999771,57.85954059,-2.29842276,0,0
1,-107.1885017,32.06111922,1,-0.090581417,0.084771417,6.880000114,68.00552501,-2.401025763,0,0
1,-107.0117131,32.06111922,1,-0.243601337,0.197291639,6.239999771,57.85954059,-3.378639307,0,0
1,-106.8349245,32.06111922,1,-0.306796908,0.257425134,6.320000172,59.08299409,-3.899929189,0,0
1,-106.6581359,32.06111922,1,-0.361543864,0.315976377,6.789999962,66.52924419,-4.584939428,0,0
1,-106.4813473,32.06111922,1,-0.33897537,0.291113411,6.579999924,63.14759423,-4.287553099,0,0
1,-106.3045586,32.06111922,1,-0.390379459,0.349225869,6.539999962,62.51347115,-4.672399946,0,0
1,-106.12777,32.06111922,1,-0.315258861,0.266083434,6.409999847,60.47466738,-4.011397157,0,0
1,-105.9509814,32.06111922,1,-0.119234063,0.102277131,5.679999828,49.65380998,-2.253541487,0,0
1,-105.7741928,32.06111922,1,-0.113952927,0.098927123,5.449999809,46.46529858,-2.143986548,0,0
1,-105.5974041,32.06111922,1,-0.116421439,0.100486043,5.480000019,46.87519421,-2.170323196,0,0
1,-105.4206155,32.06111922,1,-0.29786703,0.248443358,5.730000019,50.36096728,-3.537209042,0,0
1,-105.2438269,32.06111922,1,-0.313478559,0.264249928,6.010000229,54.41343622,-3.791931776,0,0
1,-105.0670383,32.06111922,1,-0.291823953,0.242455643,6.119999886,56.04837128,-3.686359166,0,0
1,-104.8902497,32.06111922,1,0.045164578,0.024152057,5.050000191,41.17206672,-0.997191097,0,0
1,-104.713461,32.06111922,1,0.27763173,0.00593791,4.71999979,37.04604127,0.469016038,0,0
1,-104.5366724,32.06111922,1,-0.28501901,0.235800472,6.03000021,54.7088978,-3.591710442,0,0
1,-104.3598838,32.06111922,1,-0.287682086,0.238393905,6.309999943,58.92935965,-3.748119552,0,0
1,-104.1830952,32.06111922,1,-0.269580305,0.221044973,6.550000191,62.67170569,-3.721997516,0,0
1,-104.0063066,32.06111922,1,-0.257735014,0.210047058,7.150000095,72.53155965,-3.903209027,0,0
1,-103.8295179,32.06111922,1,-0.232058153,0.18717049,6.889999866,68.17055184,-3.572046418,0,0
1,-103.6527293,32.06111922,1,-0.225396097,0.181450436,6.820000172,67.01954039,-3.487223078,0,0
1,-103.4759407,32.06111922,1,-0.202850848,0.162751525,6.46999979,61.411452,-3.161456544,0,0
1,-103.2991521,32.06111922,1,-0.184523955,0.148300356,6.929999828,68.83267488,-3.194982028,0,0
1,-103.1223635,32.06111922,1,-0.167472333,0.135458027,6.889999866,68.17055184,-3.038790625,0,0
1,-113.9064693,32.23790785,1,-0.661067247,0.742425462,12.38000011,188.9675337,-11.84458984,0,0
1,-113.7296807,32.23790785,1,-0.534264863,0.539988003,12.10999966,181.6172864,-9.903088191,0,0
